sample,submission_id,status
"w , h , x , y = map ( int , input ( ) . split ( ) ) 
 ans _ 1 = w * h / 2 
 if x = = w / 2 and y = = h / 2 : 
 ans _ 2 = 1 * true 
 else : 
 ans _ 2 = 1 * false 
 print ( ans _ 1 , ans _ 2 )",s946532451,"63    Accepted
Name: status, dtype: object"
"from collections import defaultdict , counter 
 from itertools import product , groupby , count , permutations , combinations 
 from math import pi , sqrt 
 from collections import deque 
 from bisect import bisect , bisect _ left , bisect _ right 
 from string import ascii _ lowercase 
 from functools import lru _ cache 
 import sys 
 sys . setrecursionlimit ( 1 0 0 0 0 ) 
 inf = float ( "" inf "" ) 
 yes , yes , yes , no , no , no = "" yes "" , "" yes "" , "" yes "" , "" no "" , "" no "" , "" no "" 
 dy 4 , dx 4 = [ 0 , 1 , 0 , - 1 ] , [ 1 , 0 , - 1 , 0 ] 
 dy 8 , dx 8 = [ 0 , - 1 , 0 , 1 , 1 , - 1 , - 1 , 1 ] , [ 1 , 0 , - 1 , 0 , 1 , 1 , - 1 , - 1 ] 
 
 
 def inside ( y , x , h , w ) : 
 return 0 < = y < h and 0 < = x < w 
 
 
 def ceil ( a , b ) : 
 return ( a + b - 1 ) / / b 
 
 
 # 初項s , 交差dのn個の数列の和 
 def sum _ of _ arithmetic _ progression ( s , d , n ) : 
 return n * ( 2 * s + ( n - 1 ) * d ) / / 2 
 
 
 # aとbの最大公約数 
 def gcd ( a , b ) : 
 if b = = 0 : 
 return a 
 return gcd ( b , a % b ) 
 
 
 # aとbの最小公倍数 
 def lcm ( a , b ) : 
 g = gcd ( a , b ) 
 return a / g * b 
 
 
 def main ( ) : 
 w , h , x , y = map ( int , input ( ) . split ( ) ) 
 
 area = w * h / 2 . 0 
 ans = 0 
 if 2 * x = = w and 2 * y = = h : 
 ans = 1 
 print ( area , ans ) 
 
 
 if _ _ name _ _ = = ' _ _ main _ _ ' : 
 main ( ) 
",s958060366,"103    Accepted
Name: status, dtype: object"
"m = list ( map ( int , input ( ) . split ( "" "" ) ) ) 
 w = m [ 0 ] 
 h = m [ 1 ] 
 x = m [ 2 ] 
 y = m [ 3 ] 
 
 xyplus = x + y 
 # 重心に来る時は複数、線上と内部は 1 こ 
 # if w % 2 = = 0 and h % 2 = = 0 : 
 
 ans _ area = w * h / 2 
 if x = = w / 2 and y = = h / 2 : 
 ans _ sp = 1 
 else : 
 ans _ sp = 0 
 print ( str ( ans _ area ) + "" "" + str ( ans _ sp ) )",s964222180,"52    Accepted
Name: status, dtype: object"
"w , h , x , y = [ int ( item ) for item in input ( ) . split ( ) ] 
 print ( w * h / 2 . 0 , end = "" "" ) 
 if x = = w / 2 . 0 and y = = h / 2 . 0 : 
 print ( 1 ) 
 else : 
 print ( 0 ) 
",s967727241,"196    Accepted
Name: status, dtype: object"
"def main ( ) : 
 
 w , h , x , y = [ int ( i ) for i in input ( ) . split ( ) ] 
 
 if ( w / 2 = = x ) & ( h / 2 = = y ) : 
 j = 1 
 else : 
 j = 0 
 print ( w * h / 2 , j ) 
 
 
 if _ _ name _ _ = = "" _ _ main _ _ "" : 
 main ( ) 
",s972149855,"0    Accepted
Name: status, dtype: object"
"w , h , x , y = map ( int , input ( ) . split ( ) ) 
 if x = = w / 2 and y = = h / 2 : 
 print ( float ( w * h / 2 ) , 1 ) 
 else : 
 print ( float ( w * h / 2 ) , 0 ) 
",s979353722,"83    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 r = x % y 
 
 while r ! = 0 : 
 x = y 
 y = r 
 r = x % y 
 print ( y ) 
 
",s005621241,"103    Accepted
Name: status, dtype: object"
"import math 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( math . gcd ( x , y ) ) 
 
",s009881536,"129    Accepted
Name: status, dtype: object"
"x , y = list ( map ( int , input ( ) . split ( ) ) ) 
 
 d = x % y 
 while d > 0 : 
 x = y 
 y = d 
 d = x % y 
 
 print ( y ) 
",s029242565,"182    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 if x % y = = 0 : return y 
 return gcd ( y , x % y ) 
 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( gcd ( x , y ) ) 
 
",s044070308,"110    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 if x < y : 
 x , y = y , x 
 while y > 0 : 
 r = x % y 
 x = y 
 y = r 
 
 return x 
 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( gcd ( x , y ) ) 
 
",s045531977,"151    Accepted
Name: status, dtype: object"
"gcd = list ( map ( int , input ( ) . split ( ) ) ) 
 
 if gcd [ 0 ] < gcd [ 1 ] : 
 	 gcd [ 0 ] , gcd [ 1 ] = gcd [ 1 ] , gcd [ 0 ] 
 while gcd [ 1 ] > 0 : 
 	 r = gcd [ 0 ] % gcd [ 1 ] 
 	 gcd [ 0 ] = gcd [ 1 ] 
 	 gcd [ 1 ] = r 
 print ( gcd [ 0 ] ) 
 
",s047524614,"14    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 while true : 
 r = x % y 
 if r = = 0 : 
 print ( y ) 
 break 
 x = y 
 y = r 
 
 
",s058717633,"183    Accepted
Name: status, dtype: object"
"def gcd ( a , b ) : 
 	 while b : 
 	 	 a , b = b , a % b 
 	 return a 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( gcd ( x , y ) )",s073745819,"76    Accepted
Name: status, dtype: object"
"x , y = [ int ( i ) for i in input ( ) . split ( ) ] 
 
 if x < y : 
 x , y = y , x 
 
 a = - 1 
 while a ! = 0 : 
 a = x % y 
 x = y 
 y = a 
 
 print ( x ) 
",s085147140,"164    Accepted
Name: status, dtype: object"
"import math 
 a , b = map ( int , input ( ) . split ( ) ) 
 print ( math . gcd ( a , b ) ) 
 
 # 0 0 . 0 2 sec 5 5 8 8 kb 4 lines 5 5 bytes 
 # a , b = map ( int , input ( ) . split ( ) ) 
 # while b : a , b = b , a % b 
 # print ( a )",s088515771,"87    Accepted
Name: status, dtype: object"
"
 a , b = input ( ) . split ( ) 
 
 if a > b : 
 a = int ( a ) 
 b = int ( b ) 
 
 else : 
 x = int ( a ) 
 a = int ( b ) 
 b = x 
 
 while true : 
 ext = a % b 
 if ext = = 0 : 
 gcd = b 
 break 
 else : 
 a = b 
 b = ext 
 
 print ( gcd ) 
 
",s094006363,"168    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 if x < y : 
 x , y = y , x 
 if y = = 0 : 
 return x 
 return gcd ( y , x % y ) 
 
 x , y = map ( int , input ( ) . split ( ) ) 
 ans = 0 
 ans = gcd ( x , y ) 
 print ( ans ) 
",s094808712,"126    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 while x % y ! = 0 : 
 a = max ( x , y ) 
 b = min ( x , y ) 
 c = a % b 
 if c > = b : 
 x = c 
 y = b 
 else : 
 x = b 
 y = c 
 print ( y ) 
 
",s102780490,"196    Accepted
Name: status, dtype: object"
"# gcd 
 
 x , y = list ( map ( int , input ( ) . split ( ) ) ) 
 
 # xの方が大きくなくてはならない 
 if x < y : 
 x , y = y , x 
 
 r = x % y 
 while r ! = 0 : 
 x = y 
 y = r 
 r = x % y 
 
 print ( y ) 
",s108850054,"157    Accepted
Name: status, dtype: object"
"from math import gcd 
 
 n , m = map ( int , input ( ) . split ( ) ) 
 print ( gcd ( n , m ) ) 
",s110345738,"146    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 b = min ( ( x , y ) ) 
 a = max ( ( x , y ) ) % b 
 if a = = 0 : 
 print ( b ) 
 else : 
 for i in range ( 1 , a + 1 ) : 
 if a % i = = 0 and b % ( a / i ) = = 0 : 
 print ( int ( a / i ) ) 
 break 
",s126330042,"145    Accepted
Name: status, dtype: object"
"from sys import stdin 
 def stdinput ( ) : 
 return stdin . readline ( ) . strip ( ) 
 
 def main ( ) : 
 a , b = map ( int , stdinput ( ) . split ( ) ) 
 
 a , b = min ( a , b ) , max ( a , b ) 
 while b % a ! = 0 : 
 a , b = b % a , a 
 
 print ( a ) 
 
 if _ _ name _ _ = = ' _ _ main _ _ ' : 
 main ( ) 
",s128494407,"111    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ' ' ) ) 
 
 def gcd ( x , y ) : 
 new _ x = max ( x , y ) 
 new _ y = min ( x , y ) 
 while new _ y > 0 : 
 r = new _ x % new _ y 
 new _ x = new _ y 
 new _ y = r 
 return new _ x 
 
 print ( gcd ( x , y ) ) 
",s136633781,"139    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 while true : 
 if y > x : 
 a = x 
 x = y 
 y = a 
 x = x % y 
 # print ( f "" { x } { y } "" ) 
 if x = = 0 : 
 print ( y ) 
 break 
 
",s159791444,"112    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 
 def gcd ( x , y ) : 
 if x < y : 
 x , y = y , x 
 while y > 0 : 
 r = x % y 
 x = y 
 y = r 
 return x 
 
 print ( str ( gcd ( x , y ) ) )",s163494721,"71    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 x , y = max ( x , y ) , min ( x , y ) 
 while y ! = 0 : 
 x , y = y , x % y 
 return x 
 
 x , y = ( int ( s ) for s in input ( ) . split ( ) ) 
 print ( gcd ( x , y ) )",s166943544,"56    Accepted
Name: status, dtype: object"
"''' 
 0 0 . 0 2 sec 5 5 8 8 kb 4 lines 5 5 bytes 
 a , b = map ( int , input ( ) . split ( ) ) 
 while b : a , b = b , a % b 
 print ( a ) 
 ''' 
 import math 
 a , b = map ( int , input ( ) . split ( ) ) 
 print ( math . gcd ( a , b ) )",s171099735,"88    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 if x < y : 
 x , y = y , x 
 while y > 0 : 
 r = x % y 
 x = y 
 y = r 
 
 return x 
 
 def main ( ) : 
 x , y = ( int ( n ) for n in input ( ) . split ( ) ) 
 print ( gcd ( x , y ) ) 
 
 main ( ) 
",s172879437,"93    Accepted
Name: status, dtype: object"
"# - * - coding : utf - 8 - * - 
 
 
 def converter ( a , b ) : 
 larger = max ( a , b ) 
 smaller = min ( a , b ) 
 if smaller = = 0 : 
 return larger 
 else : 
 return converter ( smaller , larger % smaller ) 
 
 
 def main ( ) : 
 a , b = [ int ( x ) for x in raw _ input ( ) . strip ( ) . split ( ' ' ) ] 
 print converter ( a , b ) 
 
 
 if _ _ name _ _ = = ' _ _ main _ _ ' : 
 main ( )",s185327012,"61    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 
 if x < y : 
 str = x 
 x = y 
 y = str 
 while true : 
 r = x % y 
 x = y 
 y = r 
 if r = = 0 : 
 print ( x ) 
 break 
 
",s193105090,"179    Accepted
Name: status, dtype: object"
"a , b = map ( int , raw _ input ( ) . split ( ) ) 
 c = 0 
 while true : 
 if a = = b : 
 c = a 
 break 
 
 if a < b : 
 tmp = b 
 b = a 
 a = tmp 
 
 a = a % b 
 if a = = 0 : 
 c = b 
 break 
 
 print ( c )",s193618757,"117    Accepted
Name: status, dtype: object"
"import fractions 
 
 if _ _ name _ _ = = ' _ _ main _ _ ' : 
 x , y = [ int ( _ ) for _ in input ( ) . split ( ) ] 
 print ( fractions . gcd ( x , y ) )",s194699810,"18    Accepted
Name: status, dtype: object"
"def euclidean ( input _ list ) : 
 # print input _ list 
 x = input _ list [ 1 ] 
 y = input _ list [ 0 ] 
 r = x % y 
 if r ! = 0 : 
 list = [ r , y ] 
 list . sort ( ) 
 return euclidean ( list ) 
 else : 
 return y 
 
 list = map ( int , raw _ input ( ) . split ( "" "" ) ) 
 list . sort ( ) 
 print euclidean ( list )",s202413379,"23    Accepted
Name: status, dtype: object"
"def gcm ( x , y ) : 
 if x = = 0 : 
 return y 
 if y = = 0 : 
 return x 
 if x = = y : 
 return x 
 if x > y : 
 return gcm ( x % y , y ) 
 else : 
 return gcm ( y % x , x ) 
 
 
 x , y = list ( map ( int , input ( ) . split ( ) ) ) 
 
 print ( gcm ( x , y ) ) 
",s212961893,"106    Accepted
Name: status, dtype: object"
"a , b = map ( int , input ( ) . split ( ) ) 
 while b : a , b = b , a % b 
 print ( a )",s223100404,"54    Accepted
Name: status, dtype: object"
"# coding : utf - 8 
 
 def getgcm ( a , b ) : 
 if b > a : 
 a , b = b , a 
 while true : 
 r = a % b 
 if r = = 0 : 
 return b 
 else : 
 a = b 
 b = r 
 
 x , y = map ( int , input ( ) . rstrip ( ) . split ( ) ) 
 print ( getgcm ( x , y ) ) 
",s224554311,"188    Accepted
Name: status, dtype: object"
"
 x , y = map ( int , input ( ) . split ( ) ) 
 
 def greatest _ common _ divider ( x , y ) : 
 while y > 0 : 
 n = x % y 
 x = y 
 y = n 
 return x 
 
 print ( greatest _ common _ divider ( x , y ) ) 
",s230692943,"161    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 if x < y : 
 return gcd ( y , x ) 
 if y = = 0 : 
 return x 
 return gcd ( y , x % y ) 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( gcd ( x , y ) ) 
",s235278044,"13    Accepted
Name: status, dtype: object"
"a = [ int ( i ) for i in input ( ) . split ( ) ] 
 a . sort ( ) 
 while true : 
 if a [ 1 ] % a [ 0 ] = = 0 : 
 print ( a [ 0 ] ) 
 break 
 else : 
 a [ 1 ] = a [ 1 ] % a [ 0 ] 
 a . sort ( ) 
 
",s236284671,"198    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 while x % y ! = 0 : 
 	 tmp = y 
 	 y = x % y 
 	 x = tmp 
 print ( y ) 
 
",s244030271,"102    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 if x < y : 
 x , y = y , x 
 
 while 0 < y : 
 x , y = y , x % y 
 
 return x 
 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( gcd ( x , y ) ) 
 
",s281198070,"141    Accepted
Name: status, dtype: object"
"x = sorted ( list ( map ( int , input ( ) . split ( ) ) ) ) 
 
 while true : 
 if x [ 1 ] % x [ 0 ] = = 0 : 
 print ( x [ 0 ] ) 
 break 
 else : 
 tmp = x [ 1 ] % x [ 0 ] 
 x [ 1 ] = x [ 0 ] 
 x [ 0 ] = tmp 
 
",s290275785,"166    Accepted
Name: status, dtype: object"
"from fractions import gcd 
 
 a , b = ( int ( x ) for x in input ( ) . split ( ) ) 
 ans = gcd ( a , b ) 
 print ( ans ) 
",s296231516,"138    Accepted
Name: status, dtype: object"
"def euclid ( x , y ) : 
 if x < y : 
 hoge = x 
 x = y 
 y = hoge 
 a = x % y 
 while a ! = 0 : 
 x = y 
 y = a 
 a = x % y 
 print ( y ) 
 
 x , y = map ( int , input ( ) . split ( ) ) 
 euclid ( x , y ) 
",s307581186,"189    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 x = max ( x , y ) 
 y = min ( x , y ) 
 # 計算量問題あり 
 ''' 
 for i in range ( y ) : 
 if ( x % ( y - i ) = = 0 ) and ( y % ( y - i ) = = 0 ) : 
 print ( y - i ) 
 exit ( ) 
 ''' 
 while x ! = y : 
 if x > y : 
 x - = y 
 else : 
 y - = x 
 print ( x ) 
",s314084790,"162    Accepted
Name: status, dtype: object"
"import math 
 x , y = map ( int , input ( ) . split ( ) ) 
 
 print ( math . gcd ( x , y ) ) 
",s314574825,"130    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 if y = = 0 : 
 print ( x ) 
 return 
 else : 
 gcd ( y , x % y ) 
 
 nums = list ( map ( int , input ( ) . split ( ) ) ) 
 gcd ( max ( nums [ 0 ] , nums [ 1 ] ) , min ( nums [ 0 ] , nums [ 1 ] ) ) 
",s318562760,"195    Accepted
Name: status, dtype: object"
"# coding : utf - 8 
 
 a , b = map ( int , input ( ) . split ( ) ) 
 
 x = max ( a , b ) 
 y = a + b - x 
 
 while x % y > 0 : 
 z = x % y 
 x = y 
 y = z 
 print ( str ( y ) ) 
",s322450696,"173    Accepted
Name: status, dtype: object"
"a , b = map ( int , input ( ) . rstrip ( ) . split ( "" "" ) ) 
 
 if a > b : 
 a = a 
 b = b 
 else : 
 a = b 
 b = a 
 
 gcd = 1 
 while true : 
 a , b = b , a % b 
 
 if b = = 0 : 
 break 
 
 print ( str ( a ) )",s324343938,"63    Accepted
Name: status, dtype: object"
"
 import math 
 
 x , y = [ int ( i ) for i in input ( ) . split ( ) ] 
 
 
 print ( math . gcd ( x , y ) ) 
",s339347344,"109    Accepted
Name: status, dtype: object"
"x , y = sorted ( list ( map ( int , input ( ) . split ( ) ) ) ) 
 
 while x : 
 y , x = x , y % x 
 print ( y ) 
",s342768842,"149    Accepted
Name: status, dtype: object"
"def divide ( a , b ) : 
 	 if a < b : 
 	 	 return divide ( b , a ) 
 	 if b = = 0 : 
 	 	 return a 
 	 return divide ( b , a % b ) 
 	 
 nums = list ( map ( int , input ( ) . split ( ) ) ) 
 
 ans = divide ( nums [ 0 ] , nums [ 1 ] ) 
 
 print ( ans ) 
",s344079452,"10    Accepted
Name: status, dtype: object"
"a = [ list ( map ( int , s . split ( ) ) ) for s in open ( 0 ) ] [ 0 ] 
 x , y = a [ 0 ] , a [ 1 ] 
 if y > x : 
 l , s = y , x 
 else : 
 l , s = x , y 
 while l % s > 0 : 
 m = l % s 
 l = s 
 s = m 
 print ( s ) 
",s345237099,"160    Accepted
Name: status, dtype: object"
"import math 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( math . gcd ( x , y ) ) 
",s355835079,"187    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 if x < y : 
 	 t = x 
 	 x = y 
 	 y = t 
 r = x % y 
 while r ! = 0 : 
 	 x = y 
 	 y = r 
 	 r = x % y 
 print ( y ) 
 	 
",s356374951,"152    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 
 
 def gcd ( x , y ) : 
 lg = max ( x , y ) 
 sm = min ( x , y ) 
 div = true 
 while div : 
 lg _ temp = sm 
 sm = lg % sm 
 lg = lg _ temp 
 if sm = = 0 : 
 div = false 
 return lg _ temp 
 
 
 
 
 print ( gcd ( x , y ) ) 
",s374216703,"137    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 if x < y : 
 x 1 = x 
 x = y 
 y = x 1 
 while y > 0 : 
 r = x % y 
 x = y 
 y = r 
 return x 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( gcd ( x , y ) ) 
",s374216879,"159    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 
 if x > = y : 
 a = x 
 b = y 
 else : 
 a = y 
 b = x 
 
 ans = a % b 
 while ans ! = 0 : 
 a = b 
 b = ans 
 ans = a % b 
 
 print ( b ) 
",s395292164,"192    Accepted
Name: status, dtype: object"
"def gcd ( a , b ) : 
 if b = = 0 : 
 return a 
 else : 
 x , y = b , a % b 
 return gcd ( x , y ) 
 
 a , b = map ( int , input ( ) . split ( ) ) 
 print ( gcd ( a , b ) ) 
",s404389046,"144    Accepted
Name: status, dtype: object"
"x , y = [ int ( x ) for x in input ( ) . split ( ) ] 
 
 if ( y > x ) : 
 v = x 
 x = y 
 y = v 
 
 r = x % y 
 while ( r ! = 0 ) : 
 x = y 
 y = r 
 
 r = x % y 
 # print ( r ) 
 
 print ( y ) 
",s408934464,"184    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 if x < y : 
 tmp = x 
 x = y 
 y = tmp 
 while y > 0 : 
 r = x % y 
 x = y 
 y = r 
 return x 
 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( gcd ( x , y ) ) 
",s413245809,"169    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 if x < y : 
 temp = y 
 y = x 
 x = temp 
 while y > 0 : 
 r = x % y 
 x = y 
 y = r 
 return x 
 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( gcd ( x , y ) ) 
",s431555769,"171    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 while y ! = 0 : 
 x , y = y , x % y 
 return x 
 
 a = list ( map ( int , input ( ) . split ( ) ) ) 
 print ( gcd ( a [ 0 ] , a [ 1 ] ) )",s434060990,"57    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 if x < y : 
 x , y = y , x 
 
 while true : 
 x , y = y , x % y 
 if y = = 0 : 
 break 
 print ( x ) 
 
",s434529182,"148    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 if y = = 0 : 
 return x 
 return gcd ( y , x % y ) 
 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( gcd ( x , y ) )",s442257288,"60    Accepted
Name: status, dtype: object"
"def mygcd ( x , y ) : 
 if y ! = 0 : 
 mygcd ( y , x % y ) 
 else : 
 print ( x ) 
 
 if _ _ name _ _ = = "" _ _ main _ _ "" : 
 a , b = map ( int , input ( ) . split ( ) ) 
 if a < b : 
 tmp = a 
 a = b 
 b = tmp 
 mygcd ( a , b ) 
 
",s443158875,"191    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 c = x % y 
 
 while c ! = 0 : 
 x = y 
 y = c 
 c = x % y 
 print ( y ) 
",s447931113,"98    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 if x < y : 
 x , y = y , x 
 
 if x % y = = 0 : 
 return y 
 else : 
 return gcd ( y , x % y ) 
 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( gcd ( x , y ) ) 
",s448708508,"165    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 while y ! = 0 : 
 x , y = y , x % y 
 print ( x )",s465300353,"20    Accepted
Name: status, dtype: object"
"import math 
 def gcd ( a , b ) : 
 if a = = 0 : 
 return b 
 if b = = 0 : 
 return a 
 if a > = b : 
 return gcd ( b , a % b ) 
 else : 
 return gcd ( a , b % a ) 
 
 a , b = map ( int , input ( ) . split ( ) ) 
 print ( gcd ( a , b ) )",s473660263,"40    Accepted
Name: status, dtype: object"
"
 def gcd ( x , y ) : 
 if y = = 0 : 
 return x 
 else : 
 return gcd ( y , x % y ) 
 
 def main ( ) : 
 l , r = tuple ( map ( int , input ( ) . split ( ' ' ) ) ) 
 print ( gcd ( l , r ) ) 
 
 main ( ) 
",s498267194,"107    Accepted
Name: status, dtype: object"
"# - * - coding : utf - 8 - * - 
 
 import sys 
 if sys . version _ info . minor > = 5 : from math import gcd 
 else : from fractions import gcd 
 
 def input ( ) : return sys . stdin . readline ( ) . strip ( ) 
 def list 2 d ( a , b , c ) : return [ [ c ] * b for i in range ( a ) ] 
 def list 3 d ( a , b , c , d ) : return [ [ [ d ] * c for j in range ( b ) ] for i in range ( a ) ] 
 def ceil ( x , y = 1 ) : return int ( - ( - x / / y ) ) 
 def int ( ) : return int ( input ( ) ) 
 def map ( ) : return map ( int , input ( ) . split ( ) ) 
 def list ( ) : return list ( map ( int , input ( ) . split ( ) ) ) 
 def yes ( ) : print ( 'yes' ) 
 def no ( ) : print ( 'no' ) 
 def yes ( ) : print ( 'yes' ) 
 def no ( ) : print ( 'no' ) 
 sys . setrecursionlimit ( 1 0 * * 9 ) 
 inf = float ( 'inf' ) 
 mod = 1 0 * * 9 + 7 
 
 x , y = map ( ) 
 print ( gcd ( x , y ) ) 
 
",s498646025,"178    Accepted
Name: status, dtype: object"
"def gcd ( aa , bb ) : 
 while bb ! = 0 : 
 r = bb 
 bb = aa % bb 
 aa = r 
 return aa 
 a , b = map ( int , raw _ input ( ) . strip ( ) . split ( ) ) 
 # print a , b 
 print gcd ( a , b ) 
 
",s501254041,"6    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( "" "" ) ) 
 
 while y ! = 0 : 
 x , y = y , x % y 
 
 print ( x ) 
 
",s510581922,"12    Accepted
Name: status, dtype: object"
"x , y = ( int ( x ) for x in input ( ) . split ( ) ) 
 
 q = x / / y 
 r = x % y 
 a = y 
 b = r 
 if ( r = = 0 ) : 
 print ( x ) 
 exit ( ) 
 
 else : 
 while ( r ! = 0 ) : 
 q = a / / b 
 r = a % b 
 
 if ( r = = 0 ) : 
 print ( b ) 
 break 
 a = b 
 b = r 
 
",s515213952,"124    Accepted
Name: status, dtype: object"
"import math 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( math . gcd ( x , y ) ) 
 
",s519268320,"142    Accepted
Name: status, dtype: object"
"import sys 
 input = sys . stdin . readline 
 
 x , y = sorted ( map ( int , input ( ) . split ( ) ) ) 
 
 gcd = x 
 while ( y % x ! = 0 ) : 
 gcd = y % x 
 y = x 
 x = gcd 
 print ( gcd ) 
 
",s547934904,"154    Accepted
Name: status, dtype: object"
"def greatest _ common _ divisor ( a , b ) : 
 if a = = 0 or b = = 0 : 
 return max ( a , b ) 
 
 return greatest _ common _ divisor ( max ( a , b ) - min ( a , b ) , min ( a , b ) ) 
 
 a , b = map ( int , input ( ) . split ( ) ) 
 print ( greatest _ common _ divisor ( a , b ) )",s558171659,"50    Accepted
Name: status, dtype: object"
"n = list ( map ( int , input ( ) . split ( ) ) ) 
 m = [ ] 
 while n [ 0 ] ! = 0 : 
 	 if n [ 0 ] < = n [ 1 ] : 
 	 	 m = n [ 0 ] 
 	 	 n [ 0 ] = n [ 1 ] 
 	 	 n [ 1 ] = m 
 	 n [ 0 ] = n [ 0 ] % n [ 1 ] 
 print ( n [ 1 ] ) 	 
",s561914123,"197    Accepted
Name: status, dtype: object"
"x , y = map ( int , input ( ) . split ( ) ) 
 if x < y : 
 a = x 
 x = y 
 y = a 
 
 while y > 0 : 
 r = x % y 
 x = y 
 y = r 
 print ( x ) 
",s573116251,"131    Accepted
Name: status, dtype: object"
"num = list ( map ( int , input ( ) . split ( ) ) ) 
 
 if num [ 0 ] > num [ 1 ] : 
 x = num [ 0 ] 
 y = num [ 1 ] 
 elif num [ 0 ] < num [ 1 ] : 
 x = num [ 1 ] 
 y = num [ 0 ] 
 else : 
 x = num [ 1 ] 
 y = num [ 0 ] 
 b = num [ 1 ] 
 
 a = x % y 
 
 while a ! = 0 : 
 b = a 
 a = y % a 
 y = b 
 
 print ( b ) 
 
",s576242948,"193    Accepted
Name: status, dtype: object"
"import math 
 
 x , y = map ( int , input ( ) . split ( ) ) 
 print ( math . gcd ( x , y ) ) 
",s580339668,"121    Accepted
Name: status, dtype: object"
"ex = raw _ input ( ) 
 n _ s , m _ s = ex . split ( ) 
 n = int ( n _ s ) 
 m = int ( m _ s ) 
 
 while n > 0 : 
 temp = n 
 n = m % n 
 m = temp 
 
 print m 
",s582583811,"31    Accepted
Name: status, dtype: object"
"def gcd ( x , y ) : 
 a , b = x , y 
 
 while true : 
 r = a % b 
 
 if r = = 0 : 
 print ( b ) 
 break 
 
 a , b = b , r 
 
 def main ( ) : 
 a , b = map ( int , input ( ) . split ( ) ) 
 
 if a < b : 
 a , b = b , a 
 
 gcd ( a , b ) 
 
 main ( ) 
",s587742610,"156    Accepted
Name: status, dtype: object"
"def getresult ( a , b ) : 
 	 if a < b : 
 	 	 a , b = b , a 
 	 while b ! = 0 : 
 	 	 r = a % b 
 	 	 a = b 
 	 	 b = r 
 	 return a 
 a , b = map ( int , input ( ) . strip ( ) . split ( ) ) 
 print ( getresult ( a , b ) )",s599763214,"79    Accepted
Name: status, dtype: object"
"s = input ( ) 
 r = s . split ( ) 
 x = int ( r [ 0 ] ) 
 y = int ( r [ 1 ] ) 
 r = x % y 
 
 while r ! = 0 : 
 x = y 
 y = r 
 r = x % y 
 
 print ( y ) 
",s601484080,"96    Accepted
Name: status, dtype: object"
